model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"ABfoLS_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-abfols_{'epoch': 700, 'pop_size': 200, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",74.4625,0.1064,0.000994,74.4744,0.8966,0.0292,0.0044,0.0019,0.8873,0.0663,12.5178,13.198,0.8966,31.3527,5058.75,0.0813,0.8873,71.1249,11.7905,12.4539
"ABfoLS_MLNN-sliding_2-nets_[700, (0, 0), 5, (0.6, 0.4)]-abfols_{'epoch': 700, 'pop_size': 200, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",68.0273,0.0972,0.00264,68.0315,0.9752,0.0131,0.001,0.0004,0.974,0.0318,6.3219,6.3845,0.9752,14.0917,1164.6081,0.0068,0.974,34.1264,5.9047,5.9508
"ABfoLS_MLNN-sliding_5-nets_[700, (0, 0), 5, (0.6, 0.4)]-abfols_{'epoch': 700, 'pop_size': 200, 'Ci': (0.1, 1e-05), 'Ped': 0.25, 'Ns': 4, 'N_minmax': (3, 40)}",70.2698,0.1004,0.001368,70.2744,0.9485,0.0225,0.0022,0.0009,0.9437,0.0468,12.1774,11.7406,0.9485,24.1828,2527.0468,0.0186,0.9437,50.2697,11.1887,10.9151
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",2798.7659,7.7743,0.002148,2798.7791,0.9127,0.0248,0.0034,0.0016,0.9119,0.0586,12.7356,11.6025,0.9127,26.5803,3953.1296,0.0288,0.9119,62.8739,12.0064,10.9656
"BFO_MLNN-sliding_2-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1675.9149,4.6553,0.001507,1675.9177,0.9659,0.0146,0.0014,0.0005,0.9633,0.0378,6.1515,6.1647,0.9659,15.6386,1644.8896,0.0067,0.9633,40.5572,5.7439,5.7811
"BFO_MLNN-sliding_5-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",3034.1596,8.4282,0.001299,3034.1664,0.9861,0.0101,0.0006,0.0002,0.9858,0.0235,5.3278,5.2552,0.9861,10.8363,637.6971,0.0049,0.9858,25.2527,4.9598,4.905
"CRO_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-cro_{'epoch': 700, 'pop_size': 200, 'po': 0.4, 'Fb': 0.9, 'Fa': 0.1, 'Fd': 0.1, 'Pd': 0.1, 'G': [0.02, 0.2], 'GCR': 0.1, 'k': 3}",263.0289,0.3758,0.001027,263.0359,0.9926,0.0077,0.0003,0.0001,0.9925,0.0171,4.8887,4.8273,0.9926,8.2963,337.793,0.0035,0.9925,18.3791,4.543,4.4918
"CRO_MLNN-sliding_2-nets_[700, (0, 0), 5, (0.6, 0.4)]-cro_{'epoch': 700, 'pop_size': 200, 'po': 0.4, 'Fb': 0.9, 'Fa': 0.1, 'Fd': 0.1, 'Pd': 0.1, 'G': [0.02, 0.2], 'GCR': 0.1, 'k': 3}",244.7423,0.3496,0.00082,244.7443,0.9918,0.008,0.0003,0.0001,0.9915,0.0181,4.7805,4.7711,0.9918,8.5347,379.2669,0.0033,0.9915,19.4748,4.439,4.4294
"CRO_MLNN-sliding_5-nets_[700, (0, 0), 5, (0.6, 0.4)]-cro_{'epoch': 700, 'pop_size': 200, 'po': 0.4, 'Fb': 0.9, 'Fa': 0.1, 'Fd': 0.1, 'Pd': 0.1, 'G': [0.02, 0.2], 'GCR': 0.1, 'k': 3}",256.5835,0.3665,0.000937,256.5875,0.9914,0.008,0.0004,0.0001,0.991,0.0187,4.6987,4.7493,0.9914,8.6029,404.4567,0.0034,0.991,20.1111,4.3674,4.411
"DE_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",512.7115,0.7324,0.000936,512.7186,0.9324,0.0236,0.0027,0.0012,0.93,0.0522,11.3332,11.0442,0.9324,25.3631,3142.2669,0.0215,0.93,56.0559,10.6567,10.3871
"DE_MLNN-sliding_2-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",469.0947,0.6701,0.000856,469.0967,0.9829,0.0124,0.0008,0.0003,0.9805,0.0275,6.1336,6.3406,0.9829,13.2866,873.9378,0.0057,0.9805,29.5624,5.7084,5.8841
"DE_MLNN-sliding_5-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",482.9631,0.6899,0.000816,482.9662,0.9584,0.0187,0.0017,0.0007,0.9565,0.0411,9.5271,9.3113,0.9584,20.0832,1950.4759,0.011,0.9565,44.1642,8.8915,8.7369
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",478.6891,0.6838,0.000982,478.6964,0.983,0.0113,0.0007,0.0003,0.9828,0.0259,6.0647,5.9136,0.983,12.1457,771.3879,0.0058,0.9828,27.7739,5.6392,5.5191
"GA_MLNN-sliding_2-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",451.4257,0.6449,0.00117,451.4281,0.9915,0.0076,0.0003,0.0001,0.9912,0.0185,5.1826,5.0067,0.9915,8.1734,395.0521,0.0039,0.9912,19.8759,4.8061,4.655
"GA_MLNN-sliding_5-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",460.5734,0.658,0.001752,460.5773,0.984,0.01,0.0006,0.0002,0.9834,0.0254,5.2529,5.1709,0.984,10.7583,742.7286,0.0041,0.9834,27.253,4.8824,4.822
