model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"BFO_MLNN-sliding_2-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1610.2561,4.4729,0.001038,1610.2581,-0.1405,0.0062,0.0001,0.0001,-0.1475,0.0092,42.9961,38.9821,-0.1405,0.3513,0.271,0.0535,-0.1475,0.5206,39.2435,36.5321
"BFO_MLNN-sliding_5-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1688.9853,4.6916,0.000934,1688.9882,-0.2021,0.0062,0.0001,0.0001,-0.2089,0.0094,42.17,39.5752,-0.2021,0.354,0.2855,0.0553,-0.2089,0.5343,38.745,36.94
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1700.5703,4.7238,0.001539,1700.5773,-1.1446,0.0087,0.0002,0.0001,-1.1466,0.0125,63.3604,52.3215,-1.1446,0.4949,0.5074,0.1017,-1.1466,0.7123,57.4389,49.2809
"BFO_MLNN-sliding_2-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1583.1599,4.3977,0.000905,1583.1618,0.2209,0.0059,0.0001,0.0001,0.1186,0.008,50.8483,35.9002,0.2209,0.336,0.2082,0.0427,0.1186,0.4563,45.441,33.7837
"BFO_MLNN-sliding_5-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1648.2682,4.5785,0.000882,1648.271,-0.1949,0.0062,0.0001,0.0001,-0.2003,0.0094,41.6055,39.4504,-0.1949,0.3542,0.2835,0.0542,-0.2003,0.5324,38.3646,36.8118
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1690.0321,4.6945,0.000929,1690.0395,-1.1332,0.0092,0.0002,0.0001,-1.1835,0.0126,65.4994,66.6555,-1.1332,0.5253,0.5161,0.1148,-1.1835,0.7184,60.1553,62.4729
"BFO_MLNN-sliding_2-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1582.6811,4.3963,0.001608,1582.6836,0.2015,0.0054,0.0001,0.0001,0.1691,0.0078,43.372,32.8011,0.2015,0.3072,0.1962,0.0378,0.1691,0.443,38.9567,30.8101
"BFO_MLNN-sliding_5-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1657.9269,4.6054,0.001628,1657.9304,-0.5973,0.0073,0.0001,0.0001,-0.5982,0.0108,49.3716,45.9514,-0.5973,0.412,0.3775,0.0698,-0.5982,0.6144,45.538,42.9425
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1689.004,4.6917,0.000839,1689.009,-0.4205,0.0081,0.0001,0.0001,-0.6544,0.011,65.6862,43.845,-0.4205,0.4579,0.391,0.0739,-0.6544,0.6253,59.1945,41.4855
"BFO_MLNN-sliding_2-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1529.8424,4.2496,0.000999,1529.8444,0.1714,0.0051,0.0001,0.0001,0.1533,0.0079,34.7142,31.634,0.1714,0.29,0.2,0.0367,0.1533,0.4472,31.6133,29.6147
