model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"DE_MLNN-sliding_2-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",466.0104,0.6657,0.000891,466.0123,0.1836,0.0072,0.0001,0.0001,-0.1412,0.0091,62.4197,41.4196,0.1836,0.4063,0.2695,0.0563,-0.1412,0.5192,56.0232,39.1087
"DE_MLNN-sliding_5-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",478.5702,0.6837,0.000964,478.5739,-0.1885,0.0067,0.0001,0.0001,-0.2925,0.0097,42.7943,47.7871,-0.1885,0.3794,0.3053,0.0653,-0.2925,0.5525,39.6759,44.3341
"DE_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",508.3084,0.7262,0.000994,508.3139,-0.1279,0.0072,0.0001,0.0001,-0.3612,0.01,46.0851,56.0715,-0.1279,0.4086,0.3217,0.0785,-0.3612,0.5672,42.746,51.9494
"DE_MLNN-sliding_2-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",466.2105,0.666,0.001019,466.2126,0.1215,0.0053,0.0001,0.0001,0.1194,0.008,36.6332,32.4133,0.1215,0.3005,0.208,0.0383,0.1194,0.4561,33.4614,30.3517
"DE_MLNN-sliding_5-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",479.5157,0.685,0.000928,479.5198,0.1968,0.0052,0.0001,0.0001,0.1309,0.008,33.6691,33.2569,0.1968,0.2966,0.2053,0.039,0.1309,0.4531,30.843,31.0807
"DE_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",503.8924,0.7198,0.001093,503.899,-0.0197,0.0059,0.0001,0.0001,-0.0275,0.0087,41.7945,36.9082,-0.0197,0.3327,0.2429,0.048,-0.0275,0.4928,37.986,34.55
"DE_MLNN-sliding_2-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",459.2046,0.656,0.000643,459.2067,0.1477,0.0064,0.0001,0.0001,-0.0294,0.0087,53.3105,37.3075,0.1477,0.3629,0.2431,0.048,-0.0294,0.4931,47.9937,35.1506
"DE_MLNN-sliding_5-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",472.792,0.6754,0.00088,472.7956,0.0851,0.0081,0.0001,0.0001,-0.3411,0.0099,73.7755,46.4063,0.0851,0.4624,0.3167,0.0697,-0.3411,0.5628,65.8945,43.9312
"DE_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",498.2407,0.7118,0.000915,498.2501,-0.1329,0.0073,0.0001,0.0001,-0.4961,0.0105,44.8134,55.7952,-0.1329,0.4168,0.3536,0.0843,-0.4961,0.5947,41.6677,51.6917
"DE_MLNN-sliding_2-nets_[700, (0, 0), 5, (0.6, 0.4)]-de_{'epoch': 700, 'pop_size': 200, 'Wf': 0.8, 'Cr': 0.9}",456.994,0.6528,0.000724,456.9957,0.0457,0.0062,0.0001,0.0001,-0.0628,0.0088,49.8385,36.0918,0.0457,0.3532,0.251,0.0472,-0.0628,0.501,44.9957,33.9818
