,MLNN,RNN,LSTM,GA-MLNN,PSO-MLNN,ABFO-MLNN,CRO-MLNN,OCRO-MLNN
sliding window k = 2,191.8441,115.1312,84.2177,105.8089,91.3118,94.7091,95.963,86.4152
sliding window k = 2,216.8291,109.5053,84.9378,115.6426,89.4158,105.9582,94.1206,86.37
sliding window k = 2,108.6048,104.6405,84.9632,94.1562,94.6566,113.6448,95.9138,86.2878
sliding window k = 2,223.2844,116.8545,84.282,104.0424,96.2429,91.9443,105.3959,86.5044
sliding window k = 2,148.6449,110.9865,86.042,107.3183,85.7506,100.7531,92.3319,87.1703
sliding window k = 2,476.5485,122.1254,84.2416,113.5056,97.6196,100.452,88.6033,86.3422
sliding window k = 2,364.7699,112.3293,87.4439,127.4662,89.7696,88.7337,88.5213,86.4594
sliding window k = 2,88.6495,125.1435,85.0421,103.9068,88.6031,99.3262,95.9048,87.067
sliding window k = 2,178.5556,108.6963,89.1302,99.7858,95.8126,105.3057,86.168,86.0454
sliding window k = 2,339.6677,113.6781,86.3755,122.967,88.2502,98.7307,86.056,86.3789
sliding window k = 2,111.0296,123.7171,84.4521,92.7555,92.0721,96.0252,86.8516,86.37
sliding window k = 2,239.729,122.2621,85.6712,90.6777,86.714,98.6663,95.4015,86.4772
sliding window k = 2,132.6836,191.8441,84.1714,143.2408,93.5349,133.2638,101.0345,88.0915
sliding window k = 2,154.2714,216.8291,82.2637,99.6553,86.6936,115.2817,87.8352,86.5992
sliding window k = 2,185.3999,108.6048,81.232,118.1825,86.2971,92.7179,87.693,86.3523
sliding window k = 5,138.6793,223.2844,82.0631,111.6092,85.1691,108.9856,114.6467,84.2768
sliding window k = 5,128.34,148.6449,86.9012,85.4161,86.2921,141.4123,95.1392,83.7549
sliding window k = 5,240.2535,476.5485,82.6517,95.2381,88.8826,126.5742,94.3625,83.9667
sliding window k = 5,92.1559,364.7699,81.9735,118.701,90.3869,115.2076,96.6543,87.6455
sliding window k = 5,131.9008,88.6495,82.9756,106.8934,87.3676,129.975,86.8344,92.8809
sliding window k = 5,444.212,178.5556,81.3151,113.346,95.8521,139.0075,86.4116,84.9243
sliding window k = 5,264.5082,339.6677,81.5919,104.2142,102.6276,146.3032,98.1831,84.0104
sliding window k = 5,268.2041,111.0296,82.3497,120.3184,87.2139,156.9046,86.3112,84.8774
sliding window k = 5,248.2977,191.8441,81.9004,95.5971,88.9542,146.461,85.4942,90.2331
sliding window k = 5,158.4371,216.8291,81.6253,142.6784,86.3474,122.7507,87.5708,83.9613
sliding window k = 5,164.9462,108.6048,81.8297,110.9697,92.9279,126.6213,87.6483,87.1437
sliding window k = 5,121.7621,223.2844,105.8089,113.9489,84.0187,150.1898,94.9921,83.5356
sliding window k = 5,206.1217,148.6449,115.6426,105.9192,92.766,167.9987,94.9018,86.2411
sliding window k = 5,153.3397,476.5485,94.1562,91.0305,107.089,135.7831,96.2901,85.6088
sliding window k = 5,207.8552,364.7699,104.0424,95.5729,92.9368,144.2818,87.7935,84.7944
