model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"LSTM-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2707.918,2.7079,0.73128939,2708.6512,0.9974,0.0064,0.0001,0.0,0.9973,0.0088,2.0879,2.0924,0.9974,61.1125,7139.8085,0.0004,0.9973,84.4974,1.4483,1.4511
"LSTM-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6090.2512,6.0903,0.89474201,6091.15,0.9976,0.0061,0.0001,0.0,0.9976,0.0084,2.0288,2.0318,0.9976,58.9079,6486.6601,0.0004,0.9976,80.5398,1.4024,1.4038
"LSTM-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",12332.5764,12.3326,1.05430579,12333.6508,0.9977,0.0059,0.0001,0.0,0.9977,0.0081,1.9656,1.9638,0.9977,57.0768,6093.7296,0.0003,0.9977,78.0623,1.3574,1.3569
"LSTM-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2996.7477,2.9967,2.73075414,2999.4805,0.9974,0.0064,0.0001,0.0,0.9974,0.0088,2.0968,2.0966,0.9974,61.1929,7102.0,0.0004,0.9974,84.2734,1.4536,1.4541
"LSTM-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6809.0396,6.809,2.90253067,6811.9461,0.9976,0.0062,0.0001,0.0,0.9976,0.0084,2.0411,2.0468,0.9976,59.2035,6553.407,0.0004,0.9976,80.9531,1.4107,1.4133
"LSTM-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",12729.9268,12.7299,3.21825409,12733.1522,0.9977,0.006,0.0001,0.0,0.9977,0.0082,1.9682,1.9602,0.9977,57.3301,6148.4199,0.0003,0.9977,78.4119,1.3596,1.3562
"LSTM-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1987.0145,1.987,6.57839322,1993.5978,0.9974,0.0067,0.0001,0.0,0.9971,0.0092,2.2421,2.2695,0.9974,64.7786,7902.0628,0.0004,0.9971,88.8935,1.5483,1.5605
"LSTM-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4531.761,4.5318,6.22942042,4537.9986,0.9975,0.0062,0.0001,0.0,0.9975,0.0085,2.0604,2.0682,0.9975,59.7505,6707.7675,0.0004,0.9975,81.901,1.4242,1.4279
"LSTM-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",8425.7176,8.4257,6.37479687,8432.1093,0.9977,0.0062,0.0001,0.0,0.9976,0.0084,2.0481,2.0624,0.9977,59.1438,6447.061,0.0004,0.9976,80.2936,1.4119,1.4178
"LSTM-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2069.1174,2.0691,9.15903163,2078.278,0.9974,0.0065,0.0001,0.0,0.9972,0.009,2.1518,2.1709,0.9974,62.3588,7419.083,0.0004,0.9972,86.1341,1.4879,1.4962
"LSTM-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4647.9902,4.648,9.27998424,4657.2754,0.9976,0.0063,0.0001,0.0,0.9975,0.0085,2.0644,2.0743,0.9976,60.3534,6750.9122,0.0004,0.9975,82.1639,1.4305,1.4357
"LSTM-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",9242.1395,9.2421,9.76461506,9251.9102,0.9977,0.0059,0.0001,0.0,0.9977,0.0081,1.96,1.9598,0.9977,57.0948,6125.0183,0.0003,0.9977,78.2625,1.3543,1.3542
