,MLNN,RNN,LSTM,GA-MLNN,PSO-MLNN,ABFO-MLNN,CRO-MLNN,OCRO-MLNN,,,,,,,,,,,
min,0.0334,0.0323,0.0318,0.0310,0.0309,0.0322,0.0313,0.0310,,,,,,,,,,,
max,0.0676,0.0446,0.0346,0.0331,0.0342,0.0541,0.0330,0.0328,,,,,,,,,,,
mean,0.0436,0.0372,0.0327,0.0321,0.0322,0.0414,0.0322,0.0322,,,,,,,,,,,
std,0.0103,0.0037,0.0010,0.0005,0.0008,0.0064,0.0005,0.0005,,,,,,,,,,,
cv,0.2363,0.1008,0.0293,0.0156,0.0259,0.1549,0.0154,0.0149,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
min,0.0326,0.0323,0.0318,0.0320,0.0314,0.0313,0.0312,0.0312,,,,,,,,,,,
max,0.0676,0.0414,0.0398,0.0363,0.0348,0.0537,0.0335,0.0336,,,,,,,,,,,
mean,0.0528,0.0363,0.0331,0.0336,0.0325,0.0395,0.0324,0.0324,,,,,,,,,,,
std,0.0091,0.0031,0.0019,0.0013,0.0009,0.0082,0.0007,0.0007,,,,,,,,,,,
cv,0.1730,0.0868,0.0583,0.0389,0.0291,0.2065,0.0222,0.0218,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0334,0.0676,0.0436,0.0103,0.2363,,0.0326,0.0676,0.0528,0.0091,0.173
,,,,,,,,,0.0323,0.0446,0.0372,0.0037,0.1008,,0.0323,0.0414,0.0363,0.0031,0.0868
,,,,,,,,,0.0318,0.0346,0.0327,0.001,0.0293,,0.0318,0.0398,0.0331,0.0019,0.0583
,,,,,,,,,0.031,0.0331,0.0321,0.0005,0.0156,,0.032,0.0363,0.0336,0.0013,0.0389
,,,,,,,,,0.0309,0.0342,0.0322,0.0008,0.0259,,0.0314,0.0348,0.0325,0.0009,0.0291
,,,,,,,,,0.0322,0.0541,0.0414,0.0064,0.1549,,0.0313,0.0537,0.0395,0.0082,0.2065
,,,,,,,,,0.0313,0.033,0.0322,0.0005,0.0154,,0.0312,0.0335,0.0324,0.0007,0.0222
,,,,,,,,,0.031,0.0328,0.0322,0.0005,0.0149,,0.0312,0.0336,0.0324,0.0007,0.0218
