model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"LSTM-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",5533.0271,5.533,1.24653721,5534.2809,0.9865,0.0082,0.0005,0.0002,0.9863,0.0212,4.1794,4.1559,0.9865,8.7742,518.7142,0.0029,0.9863,22.7753,3.9215,3.904
"LSTM-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",5827.6947,5.8277,3.55258608,5831.254,0.989,0.0084,0.0004,0.0002,0.9883,0.0196,4.8947,5.0329,0.989,8.9714,442.3984,0.004,0.9883,21.0333,4.571,4.6881
"LSTM-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3869.6096,3.8696,6.80177093,3876.4192,0.9614,0.011,0.0013,0.0005,0.9598,0.0364,4.5983,4.7342,0.9614,11.7771,1523.5687,0.0051,0.9598,39.0329,4.3317,4.4598
"LSTM-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4176.2844,4.1763,11.28894496,4187.5821,0.963,0.0117,0.0013,0.0005,0.9611,0.0357,4.6309,4.72,0.963,12.6002,1471.2232,0.0047,0.9611,38.3565,4.3707,4.4618
"LSTM-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1222.7031,1.2227,1.0037024,1223.7084,0.9804,0.0097,0.0007,0.0003,0.9791,0.0262,4.8149,4.9445,0.9804,10.4091,789.1491,0.0041,0.9791,28.0918,4.5107,4.6237
"LSTM-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1286.5185,1.2865,3.29378748,1289.8132,0.9744,0.0102,0.0009,0.0003,0.9736,0.0294,4.7461,4.7449,0.9744,10.9664,996.7084,0.0041,0.9736,31.5707,4.4535,4.4627
"LSTM-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",897.1533,0.8972,6.70729876,903.8632,0.9677,0.0107,0.0011,0.0004,0.9669,0.033,4.8153,4.8282,0.9677,11.4356,1251.2735,0.0045,0.9669,35.3733,4.5217,4.5444
"LSTM-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",969.3233,0.9693,9.47080135,978.7958,0.9823,0.009,0.0006,0.0002,0.9818,0.0245,4.3234,4.3497,0.9823,9.6717,689.3898,0.0033,0.9818,26.2562,4.0615,4.0882
"LSTM-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2798.6967,2.7987,1.11701751,2799.8159,0.9887,0.0079,0.0004,0.0002,0.9884,0.0195,4.1872,4.1822,0.9887,8.4735,438.7674,0.0029,0.9884,20.9468,3.9231,3.9214
"LSTM-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2917.2928,2.9173,3.45617867,2920.7506,0.9572,0.0119,0.0015,0.0005,0.9554,0.0383,4.7272,4.8221,0.9572,12.8225,1686.1197,0.0052,0.9554,41.0624,4.4574,4.5558
"LSTM-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1876.6785,1.8767,6.73373961,1883.4166,0.9801,0.0094,0.0007,0.0003,0.9791,0.0262,4.4408,4.5167,0.9801,10.0426,789.0828,0.0037,0.9791,28.0906,4.1682,4.2377
"LSTM-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2074.29,2.0743,11.67665625,2085.9695,0.9796,0.0096,0.0007,0.0003,0.9793,0.0261,5.1862,5.1081,0.9796,10.3528,783.1649,0.0043,0.9793,27.9851,4.8378,4.7816
